iter	Passed	Remaining
0	59	59074
1	59	29633
2	59	19801
3	59	14889
4	59	11938
5	60	9968
6	60	8563
7	60	7510
8	60	6689
9	60	6034
10	61	5498
11	61	5052
12	61	4674
13	61	4351
14	62	4072
15	62	3826
16	62	3610
17	62	3417
18	62	3244
19	63	3088
20	63	2948
21	63	2819
22	63	2702
23	63	2598
24	64	2499
25	64	2408
26	64	2324
27	64	2245
28	64	2172
29	65	2104
30	65	2040
31	65	1980
32	65	1924
33	65	1871
34	66	1822
35	66	1775
36	66	1731
37	66	1690
38	66	1650
39	67	1612
40	67	1576
41	67	1541
42	67	1508
43	68	1478
44	68	1448
45	68	1420
46	68	1392
47	68	1365
48	69	1340
49	69	1316
50	69	1292
51	69	1269
52	69	1248
53	70	1227
54	70	1207
55	70	1188
56	70	1169
57	70	1151
58	71	1134
59	71	1116
60	71	1100
61	71	1084
62	71	1069
63	72	1054
64	72	1039
65	72	1025
66	72	1012
67	72	997
68	72	984
69	73	971
70	73	959
71	73	948
72	73	936
73	73	925
74	74	914
75	74	903
76	74	893
77	74	883
78	74	873
79	75	864
80	75	854
81	75	845
82	75	836
83	75	827
84	76	818
85	76	810
86	76	801
87	76	793
88	76	785
89	76	778
90	77	770
91	77	763
92	77	756
93	77	749
94	77	742
95	78	736
96	78	729
97	78	723
98	78	718
99	79	713
100	79	707
101	79	700
102	79	694
103	79	689
104	80	683
105	80	678
106	80	672
107	80	667
108	80	661
109	81	656
110	81	651
111	81	646
112	81	641
113	81	636
114	82	632
115	82	627
116	82	622
117	82	617
118	82	613
119	82	608
120	83	604
121	83	600
122	83	595
123	83	591
124	83	586
125	84	582
126	84	579
127	84	574
128	84	570
129	84	566
130	84	563
131	85	559
132	85	555
133	85	552
134	85	548
135	85	545
136	86	541
137	86	538
138	86	534
139	86	531
140	86	528
141	86	525
142	87	522
143	87	519
144	87	515
145	87	512
146	87	509
147	88	507
148	88	504
149	88	501
150	88	498
151	88	496
152	89	493
153	89	490
154	89	487
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	470
162	91	467
163	91	465
164	91	462
165	91	460
166	91	458
167	92	456
168	92	453
169	92	451
170	92	449
171	92	446
172	93	445
173	93	442
174	93	440
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	427
181	94	425
182	94	423
183	95	421
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	408
191	96	406
192	96	405
193	97	403
194	97	401
195	97	399
196	97	398
197	97	396
198	98	394
199	98	392
200	98	391
201	98	389
202	98	387
203	98	386
204	99	384
205	99	382
206	99	381
207	99	379
208	99	378
209	100	376
210	100	375
211	100	373
212	100	372
213	100	370
214	101	369
215	101	367
216	101	366
217	101	364
218	101	363
219	102	361
220	102	360
221	102	359
222	102	357
223	102	356
224	103	354
225	103	353
226	103	352
227	103	350
228	103	349
229	103	348
230	104	346
231	104	345
232	104	344
233	104	342
234	104	341
