iter	Passed	Remaining
0	59	59725
1	60	29954
2	60	20028
3	60	15086
4	60	12115
5	61	10122
6	61	8700
7	61	7634
8	61	6808
9	62	6146
10	62	5602
11	62	5146
12	62	4761
13	62	4430
14	63	4144
15	63	3893
16	63	3673
17	63	3476
18	63	3300
19	64	3141
20	64	2998
21	64	2867
22	64	2749
23	64	2640
24	65	2540
25	65	2448
26	65	2364
27	65	2284
28	66	2211
29	66	2142
30	66	2077
31	66	2017
32	66	1962
33	67	1908
34	67	1859
35	67	1811
36	67	1766
37	68	1723
38	68	1682
39	68	1644
40	68	1606
41	68	1571
42	69	1537
43	69	1505
44	69	1474
45	69	1445
46	69	1417
47	70	1390
48	70	1364
49	70	1339
50	70	1316
51	70	1293
52	71	1270
53	71	1249
54	71	1228
55	71	1208
56	71	1189
57	72	1171
58	72	1153
59	72	1135
60	72	1119
61	72	1102
62	73	1087
63	73	1072
64	73	1057
65	73	1043
66	73	1029
67	74	1016
68	74	1004
69	74	991
70	74	979
71	75	967
72	75	955
73	75	944
74	75	932
75	75	921
76	76	911
77	76	901
78	76	891
79	76	881
80	76	872
81	77	862
82	77	852
83	77	843
84	77	835
85	77	826
86	77	818
87	78	810
88	78	802
89	78	794
90	78	786
91	78	779
92	79	771
93	79	764
94	79	757
95	79	751
96	79	744
97	80	737
98	80	731
99	80	724
100	80	718
101	80	712
102	81	707
103	81	701
104	81	695
105	81	690
106	82	685
107	82	680
108	82	674
109	82	669
110	82	664
111	83	659
112	83	654
113	83	649
114	83	644
115	83	639
116	84	634
117	84	630
118	84	625
119	84	621
120	84	616
121	85	612
122	85	608
123	85	604
124	85	600
125	85	596
126	86	591
127	86	587
128	86	583
129	86	579
130	86	576
131	87	572
132	87	568
133	87	564
134	87	561
135	87	557
136	88	554
137	88	550
138	88	547
139	88	544
140	88	540
141	88	537
142	89	533
143	89	531
144	89	528
145	89	526
146	90	523
147	90	520
148	90	518
149	90	515
150	91	512
151	91	509
152	91	506
153	91	503
154	91	500
155	92	498
156	92	495
157	92	492
158	92	490
159	92	487
160	92	484
161	93	481
162	93	479
163	93	476
164	93	474
165	93	471
166	94	469
167	94	467
168	94	464
169	94	462
170	94	460
171	95	457
172	95	455
173	95	453
174	95	451
175	95	448
176	96	446
177	96	444
178	96	442
179	96	440
180	96	438
181	97	436
182	97	434
183	97	432
184	97	430
185	98	428
186	98	426
187	98	424
188	98	423
189	98	421
190	98	419
191	99	417
192	99	415
193	99	413
